Shape Name;Shape Class;Number of Vertices;Number of Faces;Type of Faces;3D Bounding Box
m1337.obj;AircraftBuoyant;201;340;Triangle;"[[0.025    0.025    0.025   ]
 [0.889234 0.975    0.889234]]"
D00045.obj;Apartment;14865;21021;Triangle;"[[-0.613186 -0.700915 -0.532017]
 [ 0.829027  0.770415  0.354253]]"
m53.obj;AquaticAnimal;18409;34877;Triangle;"[[0.025    0.025    0.025   ]
 [0.163371 0.348761 0.975   ]]"
D00031.obj;Bed;1867;3590;Triangle;"[[-0.669666 -0.708463 -0.267503]
 [ 0.930426  0.726534  0.312193]]"
D00016.obj;Bicycle;2769;5049;Triangle;"[[-0.914299 -0.44062  -0.209935]
 [ 0.959955  0.818183  0.177847]]"
D00069.obj;Biplane;3242;6326;Triangle;"[[-1.06342  -0.446842 -0.198847]
 [ 0.905137  0.553446  0.199738]]"
D00089.obj;Bird;233;462;Triangle;"[[-1.16401  -0.562623 -0.314817]
 [ 0.785119  0.507858  0.154772]]"
D01009.obj;Bookset;444;3156;Triangle;"[[0.   0.   0.  ]
 [0.42 0.26 0.27]]"
D00020.obj;Bottle;971;1710;Triangle;"[[-0.790026 -0.214855 -0.229202]
 [ 0.882518  0.221754  0.192811]]"
m382.obj;BuildingNonResidential;252;400;Triangle;"[[0.025    0.025    0.025   ]
 [0.944817 0.670641 0.975   ]]"
D00084.obj;Bus;12919;75870;Triangle;"[[ -1.27166  -10.3559    -0.038539]
 [  4.24847   14.7305     6.70683 ]]"
D00168.obj;Car;4999;8157;Triangle;"[[-1.07568  -0.297973 -0.326069]
 [ 0.817578  0.423048  0.317056]]"
D00018.obj;Cellphone;14103;26960;Triangle;"[[-1.217518 -0.450646 -0.265966]
 [ 0.64781   0.305057  0.253022]]"
D01017.obj;Chess;380;756;Triangle;"[[-0.192571 -0.139346 -0.141458]
 [ 0.251959  0.139498  0.141575]]"
D01001.obj;City;6645;7853;Triangle;"[[0.025    0.025    0.025   ]
 [0.975    0.230267 0.641048]]"
D00005.obj;ClassicPiano;626;3708;Triangle;"[[ 1.048408 -0.023757  0.      ]
 [ 2.251403  1.454393  1.504024]]"
D01002.obj;Computer;2591;5109;Triangle;"[[0.025    0.025    0.025   ]
 [0.975    0.648602 0.66988 ]]"
D00116.obj;ComputerKeyboard;805;4113;Triangle;"[[-25.3572    -9.09765   -0.4699  ]
 [ -7.59018   -3.78905    0.226463]]"
D00035.obj;Cup;235;884;Triangle;"[[-1.20011  -1.00923  -0.801552]
 [ 0.741275  0.933018  0.770052]]"
D00048.obj;DeskLamp;4189;6976;Triangle;"[[-1.12769  -0.581116 -0.630788]
 [ 0.6057    0.666292  0.731294]]"
D00118.obj;DeskPhone;12443;21950;Triangle;"[[-0.775724 -0.727948 -0.22007 ]
 [ 0.897899  0.591752  0.218757]]"
D01005.obj;Door;6044;11464;Triangle;"[[0.025     0.025     0.025    ]
 [0.43396   0.975     0.0854325]]"
D00026.obj;Drum;5506;32619;Triangle;"[[-0.162762 -0.171664 -0.001215]
 [ 0.164431  0.150061  0.705   ]]"
D00012.obj;Fish;4240;6966;Triangle;"[[-1.05518  -0.391369 -0.333878]
 [ 0.713382  0.393205  0.301967]]"
D00028.obj;FloorLamp;871;1376;Triangle;"[[-0.512066 -0.274079 -0.358054]
 [ 0.857443  0.454505  0.3706  ]]"
D00050.obj;Glasses;6852;11300;Triangle;"[[-0.731417 -0.349702 -0.156199]
 [ 0.570185  0.931312  0.169875]]"
D00023.obj;Guitar;3655;7019;Triangle;"[[-0.796232 -0.262497 -0.054427]
 [ 0.751486  0.27479   0.109924]]"
